Country,Year,people_vaccinated_per_hundred,uncertain_covid_vaccinate_this_week_pct_pop,unwillingness_covid_vaccinate_this_week_pct_pop,willingness_covid_vaccinate_this_week_pct_pop
Australia,419,0.71,19.8,27.72,51.77
Australia,450,4.82,20.13,31.32,43.73
Australia,480,10.7,20.71,31.14,37.45
Australia,511,20.0,18.91,28.45,32.64
Australia,541,27.57,15.7,25.69,31.04
Australia,572,38.41,14.2,18.42,28.97
Australia,603,56.2,9.19,17.58,17.03
Australia,633,70.26,5.25,16.77,7.72
Australia,664,76.03,4.91,15.34,3.72
Australia,694,78.6,3.81,15.02,2.57
Australia,725,81.07,2.56,13.06,3.31
Australia,756,85.05,2.26,11.08,1.61
Canada,329,0.0,19.8,31.35,48.85
Canada,360,1.3,15.71,28.21,54.78
Canada,391,2.6,15.82,27.46,54.12
Canada,419,6.78,13.11,24.26,55.85
Canada,450,22.07,11.68,24.45,41.8
Canada,480,44.16,9.49,23.32,23.03
Canada,511,65.17,6.52,20.06,8.25
Canada,541,69.61,7.96,18.45,3.98
Canada,572,72.19,6.79,17.11,3.91
Canada,603,74.85,4.27,17.61,3.27
Canada,633,77.53,3.49,16.68,2.3
Canada,664,78.86,3.16,15.91,2.07
Canada,694,82.17,2.65,12.52,2.66
Canada,725,84.16,2.6,10.97,2.27
Canada,756,85.35,1.64,11.97,1.04
Denmark,329,0.0,16.38,30.47,53.15
Denmark,360,2.54,15.19,18.25,64.02
Denmark,391,3.96,10.43,16.49,69.12
Denmark,419,9.63,11.5,20.42,58.45
Denmark,450,17.01,9.75,17.84,55.4
Denmark,480,27.7,11.65,18.82,41.83
Denmark,511,48.28,10.43,14.79,26.5
Denmark,541,65.68,5.68,16.76,11.88
Denmark,572,74.09,5.38,16.5,4.03
Denmark,603,75.97,4.09,16.64,3.3
Denmark,633,76.53,3.24,17.48,2.75
Denmark,664,77.59,2.98,17.52,1.91
Denmark,694,80.78,2.16,14.68,2.38
Denmark,725,83.06,2.64,13.7,0.6
France,360,0.63,17.45,46.53,35.39
France,391,3.66,14.67,42.44,39.23
France,419,8.27,15.29,39.68,36.76
France,450,18.37,14.47,35.64,31.52
France,480,30.66,12.77,33.28,23.29
France,511,46.65,9.77,34.7,8.88
France,541,55.57,7.51,29.19,7.73
France,572,69.51,4.29,22.66,3.54
France,603,74.56,3.8,19.59,2.05
France,633,76.24,1.91,19.39,2.46
France,664,77.23,2.03,18.76,1.98
France,694,78.21,2.09,17.83,1.87
France,725,79.41,2.74,15.83,2.02
France,756,79.98,1.23,17.1,1.69
Germany,360,1.33,16.63,30.72,51.32
Germany,391,3.4,13.35,25.85,57.4
Germany,419,8.23,13.28,24.98,53.51
Germany,450,18.53,12.85,21.39,47.23
Germany,480,36.79,10.86,19.31,33.04
Germany,511,49.18,8.87,22.89,19.06
Germany,541,59.58,8.07,24.05,8.3
Germany,572,63.12,6.69,23.93,6.26
Germany,603,66.48,5.38,23.94,4.2
Germany,633,68.38,4.93,23.54,3.15
Germany,664,69.67,5.33,22.71,2.29
Germany,694,72.5,4.18,20.03,3.29
Germany,725,74.5,3.67,19.54,2.29
Germany,756,75.51,3.29,19.26,1.94
Italy,360,1.87,17.66,26.23,54.24
Italy,391,3.02,15.67,22.4,58.91
Italy,419,8.25,13.24,24.82,53.69
Italy,450,17.11,12.04,23.38,47.47
Italy,480,31.62,10.49,19.3,38.59
Italy,511,50.15,9.4,18.04,22.41
Italy,541,60.33,9.28,19.98,10.41
Italy,572,67.63,6.44,18.75,7.18
Italy,603,73.02,5.19,17.53,4.26
Italy,633,76.51,3.22,17.78,2.49
Italy,664,77.73,3.94,15.97,2.36
Italy,694,79.12,1.92,16.62,2.34
Italy,725,81.86,1.99,13.32,2.83
Italy,756,83.71,1.59,12.12,2.58
Japan,419,0.22,25.07,21.43,53.28
Japan,450,0.95,24.04,19.5,55.51
Japan,480,4.24,21.82,15.81,58.13
Japan,511,18.26,18.54,13.97,49.23
Japan,541,34.77,15.13,13.54,36.56
Japan,572,49.73,9.97,12.05,28.25
Japan,603,65.17,8.22,11.77,14.84
Japan,633,75.05,5.88,14.16,4.91
Japan,664,78.78,5.62,12.19,3.41
Japan,694,79.42,5.82,12.46,2.3
Japan,725,80.26,4.21,12.9,2.63
Japan,756,80.56,5.14,12.77,1.53
Netherlands,360,0.2,18.05,20.14,61.61
Netherlands,391,4.02,16.81,20.52,58.65
Netherlands,603,73.8,3.59,19.38,3.23
Netherlands,633,75.23,2.03,20.53,2.21
Netherlands,664,76.69,1.84,19.29,2.18
Netherlands,694,77.41,2.67,17.96,1.96
Netherlands,725,77.74,1.72,17.95,2.59
Netherlands,756,78.28,2.22,17.76,1.74
Norway,329,0.0,21.8,32.5,45.7
Norway,360,0.95,17.91,26.25,54.89
Norway,391,4.44,13.93,24.8,56.83
Norway,419,8.44,13.01,26.02,52.53
Norway,450,19.33,11.05,22.47,47.15
Norway,480,29.41,12.27,20.09,38.23
Norway,511,37.32,9.78,21.65,31.25
Norway,541,59.05,7.37,20.15,13.43
Norway,572,69.33,4.82,19.44,6.41
Singapore,360,0.38,34.78,28.62,36.22
Singapore,391,4.05,29.53,20.87,45.55
Singapore,419,9.83,25.1,19.74,45.33
Singapore,450,23.58,20.5,18.45,37.47
Singapore,480,34.76,17.55,15.75,31.94
Singapore,511,49.41,12.33,11.47,26.79
Singapore,541,75.09,9.02,9.08,6.81
Singapore,572,81.56,7.17,8.09,3.18
South Korea,419,1.23,27.5,22.93,48.34
South Korea,450,2.8,26.75,22.94,47.51
South Korea,480,7.45,28.55,22.88,41.12
South Korea,511,26.07,20.1,15.42,38.41
South Korea,541,31.42,18.57,13.83,36.18
South Korea,572,44.02,16.84,12.42,26.72
South Korea,603,68.54,8.17,13.05,10.24
Spain,360,1.64,20.93,25.55,51.88
Spain,391,3.27,19.02,24.45,53.26
Spain,419,8.45,18.01,24.3,49.24
Spain,450,18.47,17.32,20.44,43.77
Spain,480,31.9,13.87,19.04,35.19
Spain,511,47.17,12.0,15.73,25.1
Spain,541,62.11,8.0,14.18,15.71
Spain,572,74.27,6.15,13.68,5.9
Spain,603,79.88,3.65,12.69,3.78
Spain,633,81.01,3.25,13.79,1.95
Spain,664,81.66,2.98,12.84,2.52
Spain,694,82.55,2.49,12.23,2.73
Spain,725,86.25,1.58,10.22,1.95
Spain,756,87.75,1.33,9.22,1.7
Sweden,391,3.54,12.21,24.63,59.62
Sweden,419,8.4,11.18,23.72,56.7
Sweden,450,15.18,12.43,24.15,48.24
Sweden,480,30.16,10.19,22.36,37.29
Sweden,511,42.06,8.35,21.93,27.66
Sweden,541,55.74,8.23,23.49,12.54
Sweden,572,65.32,5.84,22.49,6.35
Sweden,603,68.66,5.75,21.46,4.13
United Kingdom,360,5.24,7.95,12.81,74.0
United Kingdom,391,22.84,6.78,11.49,58.89
United Kingdom,419,36.42,6.57,14.1,42.91
United Kingdom,450,47.76,4.22,12.89,35.13
United Kingdom,480,53.62,4.54,13.09,28.75
United Kingdom,511,61.61,5.27,21.37,11.75
United Kingdom,541,67.67,6.02,21.5,4.81
United Kingdom,572,69.4,5.63,21.54,3.43
United Kingdom,603,71.11,4.25,21.9,2.74
United Kingdom,633,72.39,4.2,20.88,2.53
United Kingdom,664,74.21,2.83,19.56,3.4
United Kingdom,694,75.3,3.05,19.08,2.57
United Kingdom,725,76.39,2.88,19.15,1.58
United Kingdom,756,77.02,2.85,17.1,3.03
United States,391,13.28,13.1,32.71,40.91
United States,419,23.98,13.76,29.72,32.54
United States,450,40.91,9.3,29.38,20.41
United States,480,49.05,10.87,28.35,11.73
United States,511,53.77,7.3,31.26,7.67
United States,541,56.16,8.35,28.17,7.32
United States,572,60.05,8.99,23.75,7.21
United States,603,63.49,6.21,23.68,6.62
United States,633,65.64,5.17,25.42,3.77
