date,value,indicator,entity
2022-02-21,450,Daily hospital occupancy,Bolivia
2022-02-22,427,Daily hospital occupancy,Bolivia
2022-02-23,398,Daily hospital occupancy,Bolivia
2022-02-24,379,Daily hospital occupancy,Bolivia
2022-02-25,343,Daily hospital occupancy,Bolivia
2022-02-26,344,Daily hospital occupancy,Bolivia
2022-02-27,324,Daily hospital occupancy,Bolivia
2022-02-28,314,Daily hospital occupancy,Bolivia
2022-03-01,287,Daily hospital occupancy,Bolivia
2022-03-02,305,Daily hospital occupancy,Bolivia
2022-03-03,295,Daily hospital occupancy,Bolivia
2022-03-04,290,Daily hospital occupancy,Bolivia
2022-03-05,293,Daily hospital occupancy,Bolivia
2022-03-06,284,Daily hospital occupancy,Bolivia
2022-03-07,295,Daily hospital occupancy,Bolivia
2022-03-08,284,Daily hospital occupancy,Bolivia
2022-03-09,275,Daily hospital occupancy,Bolivia
2022-03-10,270,Daily hospital occupancy,Bolivia
2022-03-11,264,Daily hospital occupancy,Bolivia
2022-03-12,264,Daily hospital occupancy,Bolivia
2021-05-08,111,Daily ICU occupancy,Bolivia
2021-05-09,116,Daily ICU occupancy,Bolivia
2021-05-10,139,Daily ICU occupancy,Bolivia
2021-05-11,151,Daily ICU occupancy,Bolivia
2021-05-12,131,Daily ICU occupancy,Bolivia
2021-05-13,155,Daily ICU occupancy,Bolivia
2021-05-14,161,Daily ICU occupancy,Bolivia
2021-05-15,159,Daily ICU occupancy,Bolivia
2021-05-16,156,Daily ICU occupancy,Bolivia
2021-05-17,158,Daily ICU occupancy,Bolivia
2021-05-18,158,Daily ICU occupancy,Bolivia
2021-05-19,159,Daily ICU occupancy,Bolivia
2021-05-20,158,Daily ICU occupancy,Bolivia
2021-05-21,169,Daily ICU occupancy,Bolivia
2021-05-22,178,Daily ICU occupancy,Bolivia
2021-05-23,185,Daily ICU occupancy,Bolivia
2021-05-24,196,Daily ICU occupancy,Bolivia
2021-05-25,212,Daily ICU occupancy,Bolivia
2021-05-26,209,Daily ICU occupancy,Bolivia
2021-05-27,210,Daily ICU occupancy,Bolivia
2021-05-28,211,Daily ICU occupancy,Bolivia
2021-05-29,220,Daily ICU occupancy,Bolivia
2021-05-30,226,Daily ICU occupancy,Bolivia
2021-05-31,215,Daily ICU occupancy,Bolivia
2021-06-01,210,Daily ICU occupancy,Bolivia
2021-06-02,209,Daily ICU occupancy,Bolivia
2021-06-03,204,Daily ICU occupancy,Bolivia
2021-06-04,204,Daily ICU occupancy,Bolivia
2021-06-05,202,Daily ICU occupancy,Bolivia
2021-06-06,204,Daily ICU occupancy,Bolivia
2021-06-07,204,Daily ICU occupancy,Bolivia
2021-06-08,204,Daily ICU occupancy,Bolivia
2021-06-09,211,Daily ICU occupancy,Bolivia
2021-06-10,214,Daily ICU occupancy,Bolivia
2021-06-11,215,Daily ICU occupancy,Bolivia
2021-06-12,228,Daily ICU occupancy,Bolivia
2021-06-13,235,Daily ICU occupancy,Bolivia
2021-06-14,232,Daily ICU occupancy,Bolivia
2021-06-15,224,Daily ICU occupancy,Bolivia
2021-06-16,220,Daily ICU occupancy,Bolivia
2021-06-17,215,Daily ICU occupancy,Bolivia
2021-06-18,209,Daily ICU occupancy,Bolivia
2021-06-19,205,Daily ICU occupancy,Bolivia
2021-06-20,203,Daily ICU occupancy,Bolivia
2021-06-21,195,Daily ICU occupancy,Bolivia
2021-06-22,194,Daily ICU occupancy,Bolivia
2021-06-23,189,Daily ICU occupancy,Bolivia
2021-06-24,185,Daily ICU occupancy,Bolivia
2021-06-25,180,Daily ICU occupancy,Bolivia
2021-06-26,175,Daily ICU occupancy,Bolivia
2021-06-27,168,Daily ICU occupancy,Bolivia
2021-06-28,164,Daily ICU occupancy,Bolivia
2021-06-29,163,Daily ICU occupancy,Bolivia
2021-06-30,161,Daily ICU occupancy,Bolivia
2021-07-01,162,Daily ICU occupancy,Bolivia
2021-07-02,166,Daily ICU occupancy,Bolivia
2021-07-03,167,Daily ICU occupancy,Bolivia
2021-07-04,158,Daily ICU occupancy,Bolivia
2021-07-05,152,Daily ICU occupancy,Bolivia
2021-07-06,142,Daily ICU occupancy,Bolivia
2021-07-07,145,Daily ICU occupancy,Bolivia
2021-07-08,144,Daily ICU occupancy,Bolivia
2021-07-09,144,Daily ICU occupancy,Bolivia
2021-07-10,152,Daily ICU occupancy,Bolivia
2021-07-11,140,Daily ICU occupancy,Bolivia
2021-07-12,150,Daily ICU occupancy,Bolivia
2021-07-13,143,Daily ICU occupancy,Bolivia
2021-07-14,141,Daily ICU occupancy,Bolivia
2021-07-15,144,Daily ICU occupancy,Bolivia
2021-07-16,148,Daily ICU occupancy,Bolivia
2021-07-17,149,Daily ICU occupancy,Bolivia
2021-07-18,153,Daily ICU occupancy,Bolivia
2021-07-19,149,Daily ICU occupancy,Bolivia
2021-07-20,148,Daily ICU occupancy,Bolivia
2021-07-21,151,Daily ICU occupancy,Bolivia
2021-07-22,133,Daily ICU occupancy,Bolivia
2021-07-23,137,Daily ICU occupancy,Bolivia
2021-07-24,136,Daily ICU occupancy,Bolivia
2021-07-25,132,Daily ICU occupancy,Bolivia
2021-07-26,128,Daily ICU occupancy,Bolivia
2021-07-27,126,Daily ICU occupancy,Bolivia
2021-07-28,131,Daily ICU occupancy,Bolivia
2021-07-29,125,Daily ICU occupancy,Bolivia
2021-07-30,123,Daily ICU occupancy,Bolivia
2021-07-31,124,Daily ICU occupancy,Bolivia
2021-08-01,123,Daily ICU occupancy,Bolivia
2021-08-02,118,Daily ICU occupancy,Bolivia
2021-08-03,126,Daily ICU occupancy,Bolivia
2021-08-04,127,Daily ICU occupancy,Bolivia
2021-08-05,129,Daily ICU occupancy,Bolivia
2021-08-06,115,Daily ICU occupancy,Bolivia
2021-08-07,116,Daily ICU occupancy,Bolivia
2021-08-08,115,Daily ICU occupancy,Bolivia
2021-08-09,114,Daily ICU occupancy,Bolivia
2021-08-10,114,Daily ICU occupancy,Bolivia
2021-08-11,112,Daily ICU occupancy,Bolivia
2021-08-12,119,Daily ICU occupancy,Bolivia
2021-08-13,128,Daily ICU occupancy,Bolivia
2021-08-14,126,Daily ICU occupancy,Bolivia
2021-08-15,116,Daily ICU occupancy,Bolivia
2021-08-16,114,Daily ICU occupancy,Bolivia
2021-08-17,113,Daily ICU occupancy,Bolivia
2021-08-18,117,Daily ICU occupancy,Bolivia
2021-08-19,116,Daily ICU occupancy,Bolivia
2021-08-20,113,Daily ICU occupancy,Bolivia
2021-08-21,106,Daily ICU occupancy,Bolivia
2021-08-22,104,Daily ICU occupancy,Bolivia
2021-08-23,102,Daily ICU occupancy,Bolivia
2021-08-24,102,Daily ICU occupancy,Bolivia
2021-08-25,100,Daily ICU occupancy,Bolivia
2021-08-26,95,Daily ICU occupancy,Bolivia
2021-08-27,93,Daily ICU occupancy,Bolivia
2021-08-28,89,Daily ICU occupancy,Bolivia
2021-08-29,83,Daily ICU occupancy,Bolivia
2021-08-30,80,Daily ICU occupancy,Bolivia
2021-08-31,76,Daily ICU occupancy,Bolivia
2021-09-01,81,Daily ICU occupancy,Bolivia
2021-09-02,79,Daily ICU occupancy,Bolivia
2021-09-03,74,Daily ICU occupancy,Bolivia
2021-09-04,76,Daily ICU occupancy,Bolivia
2021-09-05,80,Daily ICU occupancy,Bolivia
2021-09-06,83,Daily ICU occupancy,Bolivia
2021-09-07,82,Daily ICU occupancy,Bolivia
2021-09-08,78,Daily ICU occupancy,Bolivia
2021-09-09,77,Daily ICU occupancy,Bolivia
2021-09-10,77,Daily ICU occupancy,Bolivia
2021-09-11,76,Daily ICU occupancy,Bolivia
2021-09-12,74,Daily ICU occupancy,Bolivia
2021-09-13,71,Daily ICU occupancy,Bolivia
2021-09-14,70,Daily ICU occupancy,Bolivia
2021-09-15,63,Daily ICU occupancy,Bolivia
2021-09-16,55,Daily ICU occupancy,Bolivia
2021-09-17,74,Daily ICU occupancy,Bolivia
2021-09-18,71,Daily ICU occupancy,Bolivia
2021-09-19,68,Daily ICU occupancy,Bolivia
2021-09-20,65,Daily ICU occupancy,Bolivia
2021-09-21,62,Daily ICU occupancy,Bolivia
2021-09-22,63,Daily ICU occupancy,Bolivia
2021-09-23,57,Daily ICU occupancy,Bolivia
2021-09-24,58,Daily ICU occupancy,Bolivia
2021-09-25,61,Daily ICU occupancy,Bolivia
2021-09-26,61,Daily ICU occupancy,Bolivia
2021-09-27,61,Daily ICU occupancy,Bolivia
2021-09-28,70,Daily ICU occupancy,Bolivia
2021-09-29,62,Daily ICU occupancy,Bolivia
2021-09-30,58,Daily ICU occupancy,Bolivia
2021-10-01,61,Daily ICU occupancy,Bolivia
2021-10-02,63,Daily ICU occupancy,Bolivia
2021-10-03,67,Daily ICU occupancy,Bolivia
2021-10-04,61,Daily ICU occupancy,Bolivia
2021-10-05,57,Daily ICU occupancy,Bolivia
2021-10-06,68,Daily ICU occupancy,Bolivia
2021-10-07,69,Daily ICU occupancy,Bolivia
2021-10-08,65,Daily ICU occupancy,Bolivia
2021-10-09,63,Daily ICU occupancy,Bolivia
2021-10-10,70,Daily ICU occupancy,Bolivia
2021-10-11,82,Daily ICU occupancy,Bolivia
2021-10-12,74,Daily ICU occupancy,Bolivia
2021-10-13,80,Daily ICU occupancy,Bolivia
2021-10-14,72,Daily ICU occupancy,Bolivia
2021-10-15,65,Daily ICU occupancy,Bolivia
2021-10-16,61,Daily ICU occupancy,Bolivia
2021-10-17,65,Daily ICU occupancy,Bolivia
2021-10-18,62,Daily ICU occupancy,Bolivia
2021-10-19,56,Daily ICU occupancy,Bolivia
2021-10-20,70,Daily ICU occupancy,Bolivia
2021-10-21,87,Daily ICU occupancy,Bolivia
2021-10-22,85,Daily ICU occupancy,Bolivia
2021-10-23,87,Daily ICU occupancy,Bolivia
2021-10-24,90,Daily ICU occupancy,Bolivia
2021-10-25,96,Daily ICU occupancy,Bolivia
2021-10-26,73,Daily ICU occupancy,Bolivia
2021-10-27,63,Daily ICU occupancy,Bolivia
2021-10-28,66,Daily ICU occupancy,Bolivia
2021-10-29,62,Daily ICU occupancy,Bolivia
2021-10-30,66,Daily ICU occupancy,Bolivia
2021-10-31,64,Daily ICU occupancy,Bolivia
2021-11-01,63,Daily ICU occupancy,Bolivia
2021-11-02,66,Daily ICU occupancy,Bolivia
2021-11-03,66,Daily ICU occupancy,Bolivia
2021-11-04,71,Daily ICU occupancy,Bolivia
2021-11-05,73,Daily ICU occupancy,Bolivia
2021-11-06,73,Daily ICU occupancy,Bolivia
2021-11-07,70,Daily ICU occupancy,Bolivia
2021-11-08,65,Daily ICU occupancy,Bolivia
2021-11-09,66,Daily ICU occupancy,Bolivia
2021-11-10,71,Daily ICU occupancy,Bolivia
2021-11-11,77,Daily ICU occupancy,Bolivia
2021-11-12,81,Daily ICU occupancy,Bolivia
2021-11-13,80,Daily ICU occupancy,Bolivia
2021-11-14,71,Daily ICU occupancy,Bolivia
2021-11-15,80,Daily ICU occupancy,Bolivia
2021-11-16,80,Daily ICU occupancy,Bolivia
2021-11-17,82,Daily ICU occupancy,Bolivia
2021-11-18,84,Daily ICU occupancy,Bolivia
2021-11-19,91,Daily ICU occupancy,Bolivia
2021-11-20,91,Daily ICU occupancy,Bolivia
2021-11-21,94,Daily ICU occupancy,Bolivia
2021-11-22,94,Daily ICU occupancy,Bolivia
2021-11-23,91,Daily ICU occupancy,Bolivia
2021-11-24,91,Daily ICU occupancy,Bolivia
2021-11-25,94,Daily ICU occupancy,Bolivia
2021-11-26,94,Daily ICU occupancy,Bolivia
2021-11-27,100,Daily ICU occupancy,Bolivia
2021-11-28,95,Daily ICU occupancy,Bolivia
2021-11-29,98,Daily ICU occupancy,Bolivia
2021-11-30,95,Daily ICU occupancy,Bolivia
2021-12-01,98,Daily ICU occupancy,Bolivia
2021-12-02,99,Daily ICU occupancy,Bolivia
2021-12-03,93,Daily ICU occupancy,Bolivia
2021-12-04,96,Daily ICU occupancy,Bolivia
2021-12-05,94,Daily ICU occupancy,Bolivia
2021-12-06,99,Daily ICU occupancy,Bolivia
2021-12-07,93,Daily ICU occupancy,Bolivia
2021-12-08,86,Daily ICU occupancy,Bolivia
2021-12-09,96,Daily ICU occupancy,Bolivia
2021-12-10,103,Daily ICU occupancy,Bolivia
2021-12-11,94,Daily ICU occupancy,Bolivia
2021-12-12,93,Daily ICU occupancy,Bolivia
2021-12-13,105,Daily ICU occupancy,Bolivia
2021-12-14,103,Daily ICU occupancy,Bolivia
2021-12-15,110,Daily ICU occupancy,Bolivia
2021-12-16,114,Daily ICU occupancy,Bolivia
2021-12-17,116,Daily ICU occupancy,Bolivia
2021-12-18,125,Daily ICU occupancy,Bolivia
2021-12-19,129,Daily ICU occupancy,Bolivia
2021-12-20,128,Daily ICU occupancy,Bolivia
2021-12-21,120,Daily ICU occupancy,Bolivia
2021-12-22,132,Daily ICU occupancy,Bolivia
2021-12-23,126,Daily ICU occupancy,Bolivia
2021-12-24,121,Daily ICU occupancy,Bolivia
2021-12-25,122,Daily ICU occupancy,Bolivia
2021-12-26,124,Daily ICU occupancy,Bolivia
2021-12-27,125,Daily ICU occupancy,Bolivia
2021-12-28,123,Daily ICU occupancy,Bolivia
2021-12-29,130,Daily ICU occupancy,Bolivia
2021-12-30,131,Daily ICU occupancy,Bolivia
2021-12-31,130,Daily ICU occupancy,Bolivia
2022-01-01,134,Daily ICU occupancy,Bolivia
2022-01-02,129,Daily ICU occupancy,Bolivia
2022-01-03,128,Daily ICU occupancy,Bolivia
2022-01-04,126,Daily ICU occupancy,Bolivia
2022-01-05,133,Daily ICU occupancy,Bolivia
2022-01-06,142,Daily ICU occupancy,Bolivia
2022-01-07,141,Daily ICU occupancy,Bolivia
2022-01-08,139,Daily ICU occupancy,Bolivia
2022-01-09,149,Daily ICU occupancy,Bolivia
2022-01-10,154,Daily ICU occupancy,Bolivia
2022-01-11,156,Daily ICU occupancy,Bolivia
2022-01-12,164,Daily ICU occupancy,Bolivia
2022-01-13,167,Daily ICU occupancy,Bolivia
2022-01-14,175,Daily ICU occupancy,Bolivia
2022-01-15,185,Daily ICU occupancy,Bolivia
2022-01-16,181,Daily ICU occupancy,Bolivia
2022-01-17,184,Daily ICU occupancy,Bolivia
2022-01-18,192,Daily ICU occupancy,Bolivia
2022-01-19,206,Daily ICU occupancy,Bolivia
2022-01-20,202,Daily ICU occupancy,Bolivia
2022-01-21,196,Daily ICU occupancy,Bolivia
2022-01-22,205,Daily ICU occupancy,Bolivia
2022-01-23,193,Daily ICU occupancy,Bolivia
2022-01-24,196,Daily ICU occupancy,Bolivia
2022-01-25,190,Daily ICU occupancy,Bolivia
2022-01-26,186,Daily ICU occupancy,Bolivia
2022-01-27,186,Daily ICU occupancy,Bolivia
2022-01-28,177,Daily ICU occupancy,Bolivia
2022-01-29,173,Daily ICU occupancy,Bolivia
2022-01-30,158,Daily ICU occupancy,Bolivia
2022-01-31,156,Daily ICU occupancy,Bolivia
2022-02-01,141,Daily ICU occupancy,Bolivia
2022-02-02,146,Daily ICU occupancy,Bolivia
2022-02-03,148,Daily ICU occupancy,Bolivia
2022-02-04,145,Daily ICU occupancy,Bolivia
2022-02-05,131,Daily ICU occupancy,Bolivia
2022-02-06,128,Daily ICU occupancy,Bolivia
2022-02-07,121,Daily ICU occupancy,Bolivia
2022-02-08,119,Daily ICU occupancy,Bolivia
2022-02-09,121,Daily ICU occupancy,Bolivia
2022-02-10,112,Daily ICU occupancy,Bolivia
2022-02-11,106,Daily ICU occupancy,Bolivia
2022-02-12,102,Daily ICU occupancy,Bolivia
2022-02-13,89,Daily ICU occupancy,Bolivia
2022-02-14,82,Daily ICU occupancy,Bolivia
2022-02-15,83,Daily ICU occupancy,Bolivia
2022-02-16,79,Daily ICU occupancy,Bolivia
2022-02-17,74,Daily ICU occupancy,Bolivia
2022-02-18,71,Daily ICU occupancy,Bolivia
2022-02-19,68,Daily ICU occupancy,Bolivia
2022-02-20,70,Daily ICU occupancy,Bolivia
2022-02-21,65,Daily ICU occupancy,Bolivia
2022-02-22,56,Daily ICU occupancy,Bolivia
2022-02-23,55,Daily ICU occupancy,Bolivia
2022-02-24,49,Daily ICU occupancy,Bolivia
2022-02-25,54,Daily ICU occupancy,Bolivia
2022-02-26,55,Daily ICU occupancy,Bolivia
2022-02-27,49,Daily ICU occupancy,Bolivia
2022-02-28,51,Daily ICU occupancy,Bolivia
2022-03-01,50,Daily ICU occupancy,Bolivia
2022-03-02,45,Daily ICU occupancy,Bolivia
2022-03-03,48,Daily ICU occupancy,Bolivia
2022-03-04,49,Daily ICU occupancy,Bolivia
2022-03-05,45,Daily ICU occupancy,Bolivia
2022-03-06,39,Daily ICU occupancy,Bolivia
2022-03-07,51,Daily ICU occupancy,Bolivia
2022-03-08,45,Daily ICU occupancy,Bolivia
2022-03-09,50,Daily ICU occupancy,Bolivia
2022-03-10,48,Daily ICU occupancy,Bolivia
2022-03-11,43,Daily ICU occupancy,Bolivia
2022-03-12,52,Daily ICU occupancy,Bolivia
